project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
LAML-KR	SNU_WGS_08_G0	EGAN00001679752	EGAX00001625788	EGAR00001671349	211_SD_sorted_dupl_realign_recalib.bam	EGAF00001902336	7ee1f058f855d54b88218ce3f8506616	aa4d8dc8fa61a51911b67a9e8bfb12b0	EGAD00001004011	72857430019
LAML-KR	SNU_WGS_02_G0	EGAN00001679748	EGAX00001625784	EGAR00001671345	1307SD_sorted_dupl_realign_recalib.bam	EGAF00001902332	3b5dc736580b596a50c6afe1439d12b1	5fbd8eb3ffa4fcb0aff28df32d3a4c0f	EGAD00001004011	93794070439
LAML-KR	SNU_WGS_01_G0	EGAN00001679747	EGAX00001625783	EGAR00001671344	1532SD_sorted_dupl_realign_recalib.bam	EGAF00001902331	6c7dc2e7ce16d805421399f053d10326	f2729e147c3978236fbb3d6e9c5a56a6	EGAD00001004011	91427935865
LAML-KR	SNU_WGS_06_S1	EGAN00001679761	EGAX00001625797	EGAR00001671358	1614_sorted_dupl_realign_recalib.bam	EGAF00001902345	47a090603f52747ab6caa3da4172d415	f2f5546f5a5669a8c6d0c2017d4bdd95	EGAD00001004011	77054677122
LAML-KR	AML_14y_06_DX	EGAN00001417300	EGAX00001588821	EGAR00001634202	2301_H02LT_60x_sort_dup_rea_recal.bam	EGAF00001840846	1eab2c53e1ff207cf70a1bffb58460d8	8580caf51937df575c81f2d2420d1698	EGAD00001003925	261060502188
LAML-KR	AML_14y_06_control	EGAN00001417290	EGAX00001588811	EGAR00001634192	1536SD_H02C5_30x_sort_dup_rea_recal.bam	EGAF00001840836	33ef803dda5958a862e12f6d32263f15	4f51464b87de178b677a82069680a841	EGAD00001003925	141783296697
LAML-KR	SNU_WGS_10_S1	EGAN00001679764	EGAX00001625800	EGAR00001671361	1701_2_sorted_dupl_realign_recalib.bam	EGAF00001902348	eac9e77c0c60a5fefe1c8c9d4a248581	4f31a241ba8a2ad1103d29103be683a7	EGAD00001004011	64488250265
LAML-KR	SNU_WGS_12_S1	EGAN00001679766	EGAX00001625802	EGAR00001671363	1064_sort_dup_rea_recal.bam	EGAF00001902350	ef26181484e14b051f48107adb2f5e09	c872c02b79b6491ac2ab5ed7041b4a0b	EGAD00001004011	119378268826
LAML-KR	AML_14y_10_control	EGAN00001417294	EGAX00001588815	EGAR00001634196	2392SD_H07MN_30x_sort_dup_rea_recal.bam	EGAF00001840840	50676eb8e6566e3b15c6ab2ae93d9dcd	33bb45209a4e725720faf1072e17ee58	EGAD00001003925	128887241903
LAML-KR	AML-ETO-03-N	EGAN00001679767	EGAX00001625803	EGAR00001671364	1473SD_sorted_dupl_realign_recalib.bam	EGAF00001902351	ab49a93bf549a4813a01707197f5cc9f	e6d1869c35f046726bff6020adc0d6c5	EGAD00001004012	89849616965
LAML-KR	AML_14y_01_control	EGAN00001417285	EGAX00001588806	EGAR00001634187	1956-3_H0BF8_30x_sort_dup_rea_recal.bam	EGAF00001840831	48d7302c8b8cc393e256696309836975	ad0d8253e7a7b1f06a8e7d8ced3718ac	EGAD00001003925	144490021467
LAML-KR	SNU_WGS_02_S1	EGAN00001679758	EGAX00001625794	EGAR00001671355	1691_1_sorted_dupl_realign_recalib.bam	EGAF00001902342	46458824b808c6961cab0c0fd2820a72	b2dd487e650ba7d4eda300a49f30e83a	EGAD00001004011	79912374430
LAML-KR	AML_14y_08_DX	EGAN00001417302	EGAX00001588823	EGAR00001634204	1423_60x_sort_dup_rea_recal.bam	EGAF00001840848	17883de0316a822e6d38e84535eedb9b	9229b7ad70ed1f640d73466904e56425	EGAD00001003925	258077818512
LAML-KR	SNU_WGS_08_S1	EGAN00001679762	EGAX00001625798	EGAR00001671359	684_DNA_4_sorted_dupl_realign_recalib.bam	EGAF00001902346	1ec516a821e79f34a1bba86cad9cfc54	ae1b65ae156b92233a323d7c7b6b9552	EGAD00001004011	72627043385
LAML-KR	SNU_WGS_04_S1	EGAN00001679759	EGAX00001625795	EGAR00001671356	1188_1_sorted_dupl_realign_recalib.bam	EGAF00001902343	d1e41560e956933174c29552bade729b	91e09a1aa83eeded34d1a60bb9c7d9c6	EGAD00001004011	81218103913
LAML-KR	SNU_WGS_12_G0	EGAN00001679756	EGAX00001625792	EGAR00001671353	1320_sort_dup_rea_recal.bam	EGAF00001902340	6dc2d962db286d01c3666a20f4c75431	bf1080959ec63a33fefc8d85ca9a3893	EGAD00001004011	112858434358
LAML-KR	AML_14y_05_control	EGAN00001417289	EGAX00001588810	EGAR00001634191	536SD_H02LT_30x_sort_dup_rea_recal.bam	EGAF00001840835	a8b2974afc8a76d23b827c6e7db36eba	fb21eb5dbe35b8aaa63582861ca7cda2	EGAD00001003925	None
LAML-KR	AML_14y_03_DX	EGAN00001417297	EGAX00001588818	EGAR00001634199	321_H07RK_L006_60x_sort_dup_rea_recal.bam	EGAF00001840843	f1de1ec6998cfaf9d9e2d6f081c1524c	fc5654ed17e8dbe87f9ba46539b8db2d	EGAD00001003925	None
LAML-KR	AML_14y_04_DX	EGAN00001417298	EGAX00001588819	EGAR00001634200	1477_1_H08GN_60x_sort_dup_rea_recal.bam	EGAF00001840844	547dfdce9469d317fce993c9db1d193c	320d4a20ba72f58e14a8b28076aea82f	EGAD00001003925	265435791894
LAML-KR	AML_14y_09_control	EGAN00001417293	EGAX00001588814	EGAR00001634195	476SD_H02LT_30x_sort_dup_rea_recal.bam	EGAF00001840839	71fc071574776457207889ea8aa2a7bb	5effd27aa3045e9a91ca04e0d1a46033	EGAD00001003925	None
LAML-KR	AML_14y_05_DX	EGAN00001417299	EGAX00001588820	EGAR00001634201	990_H02J1_60x_sort_dup_rea_recal.bam	EGAF00001840845	b7ff46ed9838e1ac0aa50b778d1f6ed9	0f68725a5ba7d14174f143eb11df9891	EGAD00001003925	None
LAML-KR	AML_14y_02_control	EGAN00001417286	EGAX00001588807	EGAR00001634188	1404-SD_H07MN_30x_sort_dup_rea_recal.bam	EGAF00001840832	67275ac34907f62905315167cb09eb78	81993d0e63dae6b973f45ade80e2fd5a	EGAD00001003925	130866867494
