project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
NKTL-SG	NNKTL10	EGAN00001675532	EGAX00001500449	EGAR00001544342	NNKTL10_R1.fastq.gz	EGAF00001589978	9c267a55c65849005eaa5b814102b31b	88f12312969a47d7a505ea94ef1482d8	EGAD00001003271	30720989012
NKTL-SG	TNKTL13	EGAN00001514313	EGAX00001500456	EGAR00001544349	TNKTL13_R2.fastq.gz	EGAF00001589993	227fe589a83d28aa8a55af2de46677f7	799af3cc8f14080027ed9e3e8bff7d48	EGAD00001003271	80078224801
NKTL-SG	TAITL34	EGAN00001676568	EGAX00001615744	EGAR00001661304	icgc_batch2/TAITL34_R1.fastq.gz	EGAF00001883975	7d204ea8acf107f600316158ea686629	9e72f9f703ef6b7a69c56bab86e16382	EGAD00001003271	
NKTL-SG	NNKTL14	EGAN00001675536	EGAX00001500457	EGAR00001544350	NNKTL14_R2.fastq.gz	EGAF00001589995	e05874ec530140bb0b0e03605c702bcb	3d6b4ad0d781b21c757541084989ccd6	EGAD00001003271	40294514351
NKTL-SG	NNKTL7	EGAN00001675529	EGAX00001500438	EGAR00001544331	NNKTL7_L003_R1.fastq.gz	EGAF00001589956	c0ba75bb8575275e61dc4fa30667e431	32ccaf2bdfe4f81c647757f0363772c7	EGAD00001003271	36072361459
NKTL-SG	TNKTL11	EGAN00001514311	EGAX00001500452	EGAR00001544345	TNKTL11_R2.fastq.gz	EGAF00001589985	14402af65f1b8bc65b20c1eade7a3970	f24292596bc85971eb4037946cdbb44e	EGAD00001003271	66499740943
NKTL-SG	NAITL40	EGAN00001677167	EGAX00001615721	EGAR00001661281	icgc_batch2/NAITL40_R2.fastq.gz	EGAF00001883930	592ddeb550b1c64713078fc36e779500	8f47e417e7febccdb0db418ac35fb216	EGAD00001003271	
NKTL-SG	TAITL44	EGAN00001676564	EGAX00001615740	EGAR00001661300	icgc_batch2/TAITL44_R2.fastq.gz	EGAF00001883968	68559f3e47455e9ac2eeb57d4d23fdf9	84a5b0695c10822d305b2ef10b0d58ea	EGAD00001003271	
NKTL-SG	TNKTL13	EGAN00001514313	EGAX00001500456	EGAR00001544349	TNKTL13_R1.fastq.gz	EGAF00001589992	e977936feab5d0a992ca6897e4836ef0	892758405b5191aeb9ded42bf997a24c	EGAD00001003271	69753967915
NKTL-SG	TNKTL14	EGAN00001514314	EGAX00001500458	EGAR00001544351	TNKTL14_R2.fastq.gz	EGAF00001589997	8e0d96665c60d72b7ad2748922c43a95	e3d73e0bd10f92a16ff6aceb0baad433	EGAD00001003271	69545776158
NKTL-SG	TALCL15	EGAN00001676573	EGAX00001615749	EGAR00001661309	icgc_batch2/TALCL15_R2.fastq.gz	EGAF00001883986	8377e4974294eca5a27b7fb46749bb87	872cc70dec3f5fd4e3e844e7fe615f8a	EGAD00001003271	
