project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
BOCA-FR	IC128C	EGAN00001205429	EGAX00001210365	EGAR00001222505	C1P20ACXX_3_23nf_2.fastq.gz	EGAF00000589973	f616bb125ffad6d0cea3527ce3bf6104	6f20b7c18cf155a9f8b0de887387f906	EGAD00001001051	5150601683
BOCA-FR	IC009C	EGAN00001205369	EGAX00001212763	EGAR00001225133	D1EEYACXX_3_11_2.fastq.gz	EGAF00000608807	13085b6f78a4380c5a9d6b7ed3d78970	6c943a7473e8d0a2c96e1555bf1e6f32	EGAD00001001051	3681903541
BOCA-FR	IC264C	EGAN00001205475	EGAX00001210655	EGAR00001222795	C1VP0ACXX_7_25nf_1.fastq.gz	EGAF00000590552	416c7df82d34dd4b14eb7cff81d96f72	20773b943af62ba50de79e299562e452	EGAD00001001051	5864248954
BOCA-FR	IC283T	EGAN00001205502	EGAX00001213074	EGAR00001225444	C19E9ACXX_8_25_2.fastq.gz	EGAF00000607632	ff9cf5d9aa20b6a6d2908085ca473ac3	7c474e22cbf7b85b65caaf33cdd52016	EGAD00001001051	3900564298
BOCA-FR	IC288T	EGAN00001205508	EGAX00001222290	EGAR00001236127	C249BACXX_5_15nf_1.fastq.gz	EGAF00000626382	5bec9ae3505cbe8ad78b8e253ce2a21a	a9ae0d2424f22bfa67143fba02006d6a	EGAD00001001051	4746842221
BOCA-FR	IC009T	EGAN00001205370	EGAX00001212776	EGAR00001225146	D1EBNACXX_5_20_1.fastq.gz	EGAF00000608762	c032d04d365cdf6e352489c2bedcceaa	c6bd00aa8dddfbaa39b490cdc85947d5	EGAD00001001051	4360609356
BOCA-FR	IC034C	EGAN00001205375	EGAX00001210067	EGAR00001222207	D1UJ5ACXX_3_6nf_1.fastq.gz	EGAF00000589376	bbe57a186535c506b91dfaad75e7bb90	b18a2889e7ad8f01c878382e509e0c01	EGAD00001001051	6329020156
BOCA-FR	IC309C	EGAN00001205531	EGAX00001223118	EGAR00001236955	C2G45ACXX_3_11nf_1.fastq.gz	EGAF00000627428	32e5f356ed345a130b5cdca224e3ab9b	45efeceb35d839f5e8ebcb74d63dd8e4	EGAD00001001051	3607654602
BOCA-FR	IC128T	EGAN00001205430	EGAX00001210368	EGAR00001222508	C1PW6ACXX_3_19nf_2.fastq.gz	EGAF00000589979	02f105a6f18846fb26e9889f4c0357f4	191779ef3b53960a91933d92fd47a3dc	EGAD00001001051	9741681423
BOCA-FR	IC309C	EGAN00001205531	EGAX00001223110	EGAR00001236947	C24F1ACXX_2_11nf_1.fastq.gz	EGAF00000627412	13456752d974d53617589fdafee1717f	5ab46354c4f49c1e6798667d79b72e6b	EGAD00001001051	3498064358
BOCA-FR	IC279C	EGAN00001205495	EGAX00001213034	EGAR00001225404	D1ECAACXX_6_13_1.fastq.gz	EGAF00000607711	e8a35d8eb42c57aa6fe667188bb44db6	41dafceb03d5351f98997cfeaba55bb3	EGAD00001001051	2911394966
BOCA-FR	IC279C	EGAN00001205495	EGAX00001213038	EGAR00001225408	C19E9ACXX_8_13_2.fastq.gz	EGAF00000607718	1f3c363bedc0ac7c3a25c5d70cd9f376	36e5a09b3d96a083f8a09c9636ade646	EGAD00001001051	2977002868
